항,β,SE,z,p값,OR,CI_low,CI_high,유의도,기준범주_임시,논문β_n1100,논문p_n1100
외국인비율,0.0936,0.0716,1.3077,0.191,1.0981,0.9544,1.2634,,False,,
안전조직수준,0.0796,0.1176,0.6766,0.4986,1.0828,0.8599,1.3634,,False,,
위원회수준,-0.0503,0.0768,-0.6554,0.5122,0.9509,0.818,1.1054,,False,,
인증보유,-0.0873,0.0785,-1.1127,0.2658,0.9164,0.7858,1.0687,,False,,
위험성평가수준,0.1115,0.0894,1.2467,0.2125,1.1179,0.9382,1.332,,False,,
교육훈련도움,0.0462,0.0906,0.5102,0.6099,1.0473,0.8769,1.2508,,False,,
정리정돈상태,-0.2081,0.09,-2.3133,0.0207,0.8121,0.6808,0.9687,*,False,-0.168,0.101
작업중지권,0.0877,0.0865,1.0141,0.3105,1.0916,0.9215,1.2933,,False,,
작업반장기여,-0.026,0.0922,-0.2822,0.7778,0.9743,0.8132,1.1674,,False,,
전문지도,-0.0492,0.0707,-0.6957,0.4866,0.952,0.8289,1.0935,,False,,
고용노동부감독,0.0782,0.0764,1.0235,0.3061,1.0813,0.931,1.256,,False,,
안전보건공단지원,0.1138,0.0899,1.266,0.2055,1.1205,0.9395,1.3363,,False,0.179,0.08
공사규모_1,-0.7614,0.1834,-4.1508,0.0,0.467,0.326,0.6691,***,False,-0.365,0.001
공사규모_3,0.4701,0.1854,2.5353,0.0112,1.6001,1.1126,2.3013,*,False,,
발주처_1,-0.171,0.1905,-0.898,0.3692,0.8428,0.5802,1.2242,,True,,
발주처_3,0.0534,0.225,0.2373,0.8124,1.0548,0.6786,1.6396,,True,,
기성공정률_1,-2.4283,0.3306,-7.3461,0.0,0.0882,0.0461,0.1686,***,False,-0.853,0.001
기성공정률_2,-0.9273,0.1999,-4.6391,0.0,0.3956,0.2674,0.5853,***,False,-0.37,0.001
기성공정률_4,0.2151,0.2127,1.0112,0.3119,1.24,0.8172,1.8815,,False,,
기성공정률_5,-0.4109,0.2269,-1.8106,0.0702,0.6631,0.425,1.0345,,False,,
기성공정률_6,0.0526,0.2373,0.2218,0.8245,1.054,0.662,1.6784,,False,,
공사종류_1,1.49,0.4474,3.3301,0.0009,4.4372,1.8461,10.6653,***,True,,
공사종류_2,1.5962,0.5227,3.0539,0.0023,4.9345,1.7714,13.7454,**,True,,
공사종류_3,1.6655,0.4547,3.6629,0.0002,5.2881,2.1691,12.8923,***,True,,
공사종류_4,1.6675,0.4447,3.7493,0.0002,5.2987,2.2162,12.6688,***,True,,
공사종류_5,0.4673,0.4949,0.9442,0.3451,1.5957,0.6049,4.2094,,True,,
공사종류_6,0.8617,0.4809,1.792,0.0731,2.3672,0.9224,6.0749,,True,,
