변수,β,SE,z,p-value,OR,95%CI 하한,95%CI 상한,유의도
const,-1.2703,0.0841,-15.114,0.0,0.2807,0.2381,0.331,***
공사규모_1,-0.3493,0.0841,-4.151,0.0,0.7052,0.598,0.8316,***
공사규모_3,0.2001,0.0789,2.535,0.0112,1.2216,1.0465,1.426,*
발주처_1,-0.0823,0.0917,-0.898,0.3692,0.921,0.7695,1.1023,
발주처_3,0.0169,0.0712,0.237,0.8124,1.017,0.8846,1.1693,
기성공정률_1,-0.9125,0.1242,-7.346,0.0,0.4015,0.3147,0.5122,***
기성공정률_2,-0.4009,0.0864,-4.639,0.0,0.6697,0.5654,0.7933,***
기성공정률_4,0.0762,0.0753,1.011,0.3119,1.0791,0.931,1.2508,
기성공정률_5,-0.1415,0.0781,-1.811,0.0702,0.8681,0.7448,1.0117,†
기성공정률_6,0.0163,0.0733,0.222,0.8245,1.0164,0.8803,1.1735,
공사종류_1,0.6881,0.2066,3.33,0.0009,1.99,1.3273,2.9836,***
공사종류_2,0.3235,0.1059,3.054,0.0023,1.3819,1.1229,1.7008,**
공사종류_3,0.6768,0.1848,3.663,0.0002,1.9677,1.3698,2.8264,***
공사종류_4,0.634,0.1691,3.749,0.0002,1.8851,1.3533,2.6258,***
공사종류_5,0.1339,0.1418,0.944,0.3451,1.1432,0.8659,1.5094,
공사종류_6,0.2678,0.1495,1.792,0.0731,1.3071,0.9752,1.7521,†
외국인비율,0.0936,0.0716,1.308,0.191,1.0981,0.9544,1.2634,
안전조직수준,0.0796,0.1176,0.677,0.4986,1.0828,0.8599,1.3634,
위원회수준,-0.0503,0.0768,-0.655,0.5122,0.9509,0.818,1.1054,
인증보유,-0.0873,0.0785,-1.113,0.2658,0.9164,0.7858,1.0687,
위험성평가수준,0.1115,0.0894,1.247,0.2125,1.1179,0.9382,1.332,
교육훈련도움,0.0462,0.0906,0.51,0.6099,1.0473,0.8769,1.2508,
정리정돈상태,-0.2081,0.09,-2.313,0.0207,0.8121,0.6808,0.9687,*
작업중지권,0.0877,0.0865,1.014,0.3105,1.0916,0.9215,1.2933,
작업반장기여,-0.026,0.0922,-0.282,0.7778,0.9743,0.8132,1.1674,
전문지도,-0.0492,0.0707,-0.696,0.4866,0.952,0.8289,1.0935,
고용노동부감독,0.0782,0.0764,1.023,0.3061,1.0813,0.931,1.256,
안전보건공단지원,0.1138,0.0899,1.266,0.2055,1.1205,0.9395,1.3363,
